itching, Skin irritation or a feeling that prompts the desire to scratch
skin rash, Visible inflamed or irritated areas of skin that can be red or itchy or blotchy
nodal skin eruptions, Skin lumps or bumps often associated with inflammation
continuous sneeze, Repeated sneezing caused by irritation or allergies
shivering, Involuntary shaking of the body
chills, Feeling of coldness accompanied by shivering
joint pain, Discomfort  or soreness or pain in the joints
stomach pain, Discomfort or pain experienced in the stomach region
acidity, A condition where the stomach produces excess acid causing discomfort
ulcers on tongue, Sores or lesions on the surface of the tongue
muscle wasting, Loss of muscle mass or weakening of muscles
vomiting, The involuntary expulsion of stomach contents through the mouth
burning micturition, Pain or a burning sensation during urination
spotting urination, Light or abnormal bleeding during urination
fatigue, Extreme tiredness or lack of energy
weight gain, An increase in body weight due to various factors
anxiety, A feeling of worry or nervousness or unease
cold hands and feet, Poor circulation causing hands and feet to feel cold
mood swings, Rapid changes in emotional state or temperament
weight loss, Unintentional reduction in body weight
restlessness, Inability to stay still often due to anxiety or discomfort
lethargy, A state of tiredness or sluggishness or lack of energy
patches in throat, Lesions or sores appearing in the throat
irregular sugar level, Abnormal blood glucose levels either high or low
cough, The reflex action to clear the airways of mucus or irritants
high fever, An elevated body temperature above the normal range
sunken eyes, Eyes appearing deeper than usual due to dehydration or illness
breathlessness, Difficulty in breathing or shortness of breath
sweating, The body's response to heat or exertion through perspiration
dehydration, Insufficient body fluids leading to dryness and discomfort
indigestion, Discomfort in the stomach often after eating
headache, Pain or discomfort in the head or neck region
yellow skin, A yellowish discoloration of the skin
dark urine, Urine that is darker than usual
nausea, A sensation of queasiness or urge to vomit
loss of appetite, Decreased desire to eat or consume food
pain behind the eyes, Discomfort or pain felt at the back of the eyes
back pain, Pain or discomfort in the back muscles or spine
constipation, Difficulty in passing stools or infrequent bowel movements
abdominal pain, Pain or cramping in the stomach area
diarrhoea, Frequent watery stools often indicating digestive issues
mild fever, A slight increase in body temperature typically around 100°F or lower
yellow urine, Urine that is yellow in color which is normal unless it's darkened
yellow of eyes, A yellowish tint in the whites of the eyes
acute liver failure, A rapid loss of liver function that can be life-threatening
fluid overload, The excess buildup of fluids in the body causing swelling
swelling of stomach, Enlargement or bloating of the abdomen
swelled lymph nodes, Enlarged lymph nodes due to infection or other causes
malaise, A general feeling of discomfort/illness or unease
blurred and distorted vision, Difficulty in seeing clearly often with distortions
phlegm, Thick mucus produced in the lungs or airways
throat irritation, A scratchy or sore feeling in the throat
redness of eyes, Bloodshot or irritated eyes
sinus pressure, Discomfort in the sinuses
runny nose, Excess mucus production leading to a watery nasal discharge
congestion, Blocked nasal passages making breathing difficult
chest pain, Discomfort or pain in the chest region
weakness in limbs, Loss of strength or control in the arms or legs
fast heart rate, An increased heart rate often above 100 beats per minute
pain during bowel movements, Discomfort or pain experienced while defecating
pain in anal region, Pain or discomfort in the rectal area
bloody stool, Presence of blood in the stool
irritation in anus, Discomfort or itching or pain around the anal region
