Disease,Specialisation
Fungal infection,Dermatologist
Allergy,Pulmonologist
GERD,Medical Gastroenterologist
Chronic cholestasis,Surgical Gastroenterologist
Drug Reaction,Pulmonologist
Peptic ulcer disease,Medical Gastroenterologist
Diabetes,Endocrinologist
Gastroenteritis,Medical Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Spine Surgeon
Paralysis (brain hemorrhage),Neurosurgeon
Jaundice,Hepato-Pancreato-Biliary Surgeon
Malaria,Internal Medicine
Chicken pox,Internal Medicine
Dengue,Internal Medicine
Typhoid,Internal Medicine
hepatitis A,Hepato-Pancreato-Biliary Surgeon
Hepatitis B,Hepato-Pancreato-Biliary Surgeon
Hepatitis C,Hepato-Pancreato-Biliary Surgeon
Hepatitis D,Hepato-Pancreato-Biliary Surgeon
Hepatitis E,Hepato-Pancreato-Biliary Surgeon
Alcoholic hepatitis,Hepato-Pancreato-Biliary Surgeon
Tuberculosis,Pulmonologist
Common Cold,General Paediatrician
Pneumonia,Pulmonologist
Dimorphic hemmorhoids(piles),Surgical Oncologist
Heart attack,Interventional Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthristis,Orthopaedic and Joint Replacement Surgeon
Arthritis,Rheumatologist
(vertigo) Paroymsal Positional Vertigo,Neurologist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
Influenza,Pulmonologist
